seq,lat,lon,alt,roll,pitch,yaw
4,37.55396159,122.0935546,301.66553,-0.418683346,1.856874881,-167.6809051
5,37.55360146,122.0935459,301.3012,-4.732781531,3.791062741,-164.0473871
6,37.55323972,122.0935893,300.11755,-13.27451358,3.534123694,-174.4769989
7,37.55289955,122.0937407,297.65338,-11.69376615,4.550280518,178.4495359
8,37.55258417,122.0939729,297.08472,-10.6410596,7.218226208,154.6537267
9,37.55230977,122.0942754,301.54346,-1.147338105,4.633349008,153.2532271
10,37.55205605,122.0945981,304.36658,-1.263808466,2.669326601,149.7811644
11,37.55180236,122.0949346,305.8772,3.181175698,0.334949419,149.2533151
12,37.55154458,122.0952663,305.75012,1.12520248,0.405532283,152.4714721
13,37.5512785,122.0955875,305.5645,1.761321677,-2.543198013,155.1574434
14,37.55100193,122.095897,304.3875,-1.708673432,-0.956668032,149.7081203
15,37.55073118,122.0962126,303.83246,0.250185571,-0.077849273,148.4138397
16,37.55046716,122.0965322,304.85474,-0.257916865,0.8941092,153.2330235
17,37.55020803,122.0968491,303.1513,1.298362929,-3.451646165,154.4753497
18,37.54994166,122.0971654,302.21747,2.790435785,1.891506157,163.9856142
19,37.54968313,122.097482,299.8145,2.791469812,2.536040818,167.4900729
20,37.54940802,122.0977907,299.21094,-0.746062859,1.456526473,163.8544142
21,37.5491342,122.0980985,299.56055,-0.996741465,2.26182376,163.1508122
22,37.54886468,122.0984084,299.4469,1.636634984,4.669380036,160.3013709
23,37.54860362,122.098722,299.48163,0.47493213,2.558286549,162.138378
24,37.54833668,122.0990385,298.96027,0.451545126,3.365771025,163.5244511
25,37.54807073,122.0993464,298.92877,0.550435733,4.145196751,165.0971628
26,37.54780007,122.0996609,299.56183,-0.351593908,2.766951679,160.1502114
27,37.54753101,122.0999688,300.02454,-1.439756963,3.263188358,159.5066469
28,37.54730629,122.1002333,301.7105,0.423819308,-0.277384781,156.8540217
29,37.54420027,122.0999355,297.07336,7.916482979,4.064063137,-53.11000308
30,37.54447586,122.0996386,299.4093,1.881101219,1.859403653,-51.11187319
31,37.54476351,122.0993442,299.02985,1.407270515,5.093880252,-51.15876658
32,37.54504702,122.0990587,300.0835,-1.750291935,5.06013105,-49.8591375
33,37.54533315,122.0987679,301.20856,-2.915431227,3.926615348,-54.54478622
34,37.54561264,122.0984693,302.30096,-2.464466035,2.657210161,-61.33250972
35,37.54588326,122.0981626,302.2232,-0.177934044,1.520766149,-60.51384272
36,37.54615265,122.097846,303.32428,0.237527326,2.32729368,-63.84858375
37,37.5464196,122.0975301,304.0498,0.06939408,0.88426972,-63.04671052
38,37.54668757,122.097208,302.8802,2.11322192,1.518741388,-60.45357076
39,37.54694878,122.0968949,302.49524,0.649822202,1.924565273,-58.84420999
40,37.54721497,122.0965802,302.5774,1.469951254,2.099534173,-66.53868069
41,37.54748172,122.0962718,301.56415,1.02456483,1.473374302,-65.4495845
42,37.5477452,122.0959609,298.97302,1.870765092,2.241292422,-64.97555416
43,37.54801475,122.0956395,298.992,1.325740681,3.721085506,-57.44999489
44,37.54828506,122.0953207,300.07446,1.364326644,4.509136465,-57.24804031
45,37.54855178,122.0950113,301.07257,1.091356141,2.594274113,-56.97929931
46,37.54882562,122.094699,301.71735,-0.305691532,5.319331797,-61.52920888
47,37.54909808,122.0943879,301.62915,1.459646482,-0.435667828,-56.93379631
48,37.54936325,122.0940759,301.8225,-0.135335923,2.82354267,-64.60712403
49,37.54963067,122.0937555,302.78387,2.150811685,1.04810256,-56.13930235
50,37.54989556,122.0934326,303.60583,2.920146208,-0.270955395,-60.45514534
51,37.55015859,122.0931098,305.7019,0.002437622,2.317862091,-61.21556869
52,37.55042829,122.0927897,305.74286,4.282058352,-1.91144406,-52.4876659
53,37.55069935,122.0924826,304.8139,0.610121214,-3.382448023,-56.94029709
54,37.55096916,122.0921746,303.73547,-1.015941482,1.463989212,-56.32694317
55,37.55123954,122.0918665,301.08527,-0.062699182,-0.81086903,-57.26967957
56,37.55150476,122.0915535,297.59448,2.418402824,0.811441185,-58.64608593
57,37.5517664,122.0912414,297.89453,0.005117466,7.300282111,-60.01786709
58,37.55203593,122.0909278,299.60718,2.279752133,1.660600341,-61.8399271
59,37.5517544,122.0875522,303.95044,1.051638699,3.700008618,160.789946
60,37.55150337,122.0878781,305.2124,2.996045036,1.334701535,162.7416065
61,37.55124279,122.0881954,303.07495,1.176805317,0.480227117,169.6251283
62,37.55096997,122.0884954,301.89093,-2.11829599,2.004417152,159.9263
63,37.55070488,122.0888049,303.2926,1.35652702,4.112473859,159.9341423
64,37.55044115,122.0891255,305.49353,2.978600407,-0.54992403,161.3141641
65,37.5501737,122.0894393,306.09363,0.852964351,-0.753293279,157.5964789
66,37.54991467,122.0897551,306.59088,2.686959373,-7.357840654,162.2403768
67,37.54964073,122.0900632,302.91174,0.180280061,2.952532036,164.9909354
68,37.54937847,122.0903855,302.53644,3.471742484,-0.873529948,165.3144812
69,37.54909887,122.0906814,301.5053,-3.558933958,-2.823186205,165.5206714
70,37.54882082,122.0909863,304.43726,-2.013075494,-3.073555609,161.4430671
71,37.54855755,122.091312,303.20282,1.403127166,-4.628624399,155.1199215
72,37.54830044,122.0916321,300.11572,1.835204919,0.231703158,157.7729737
73,37.54803248,122.0919512,298.42462,-0.860610658,-0.001645533,157.6435983
74,37.54776196,122.0922686,297.81793,0.174509893,2.600465997,159.0179775
75,37.54749445,122.0925831,297.24292,0.600041466,4.149547485,156.9821192
76,37.54722633,122.0928972,298.18896,0.668085541,3.548129563,157.4113343
77,37.54695414,122.0932085,300.46173,-0.543362984,0.302217744,158.454813
78,37.54668966,122.0935183,303.54407,1.489729795,0.632266998,154.9089762
79,37.54643032,122.0938406,303.79895,2.090874729,-1.013364902,157.380788
80,37.54616485,122.0941629,302.98444,3.448146389,-1.523370686,164.6342538
81,37.54590406,122.094483,302.35413,3.184379765,-0.570366511,163.6087422
82,37.54564281,122.0948057,301.55322,3.308302214,0.227435129,161.268284
83,37.5453725,122.0951156,299.16895,0.466584726,0.986814313,162.6737672
84,37.54510162,122.0954155,298.81384,-0.304927671,2.777151394,161.6022449
85,37.5448273,122.0957231,299.5036,-1.634269212,2.083673623,160.2886614
86,37.54455904,122.0960352,299.9665,0.746489465,2.822779921,161.1195851
87,37.54432133,122.0963114,298.88458,-1.69965524,1.586404964,160.2179905
88,37.54122852,122.0959661,300.16113,5.478083714,1.931088275,-62.02775102
89,37.54151187,122.0956724,300.01544,2.372393428,0.42166547,-58.33633887
90,37.5417967,122.0953862,300.05096,1.236850079,1.274036086,-58.64627352
91,37.54208242,122.0950931,300.27142,0.12463005,0.841019096,-59.39728968
92,37.54236275,122.0948025,299.9604,-1.504265562,3.243096437,-64.65425086
93,37.54263953,122.0945004,300.45868,-1.391968255,1.336522246,-61.9534303
94,37.54290847,122.0941929,300.96906,0.591572096,1.813388738,-66.53587153
95,37.54317756,122.0938889,303.1245,-0.394450114,2.5448061,-70.5367788
96,37.54344815,122.093579,302.88013,-1.344173114,-1.372992237,-70.1895867
97,37.54370421,122.0932586,302.74445,3.622661805,0.287424969,-66.51633378
98,37.54396487,122.0929306,303.07373,1.633514102,-2.518950452,-63.71026475
99,37.54422022,122.0926095,304.42523,3.350839482,-0.920774646,-61.37231332
100,37.54448983,122.0922938,304.58105,2.296194102,-4.674521494,-66.04283641
101,37.54475517,122.0919798,301.0318,3.478071586,-0.47040803,-62.60434359
102,37.5450292,122.0916639,300.81976,2.471091024,0.281444237,-66.94653828
103,37.54530297,122.091348,299.72113,1.358060947,1.756471131,-69.32847533
104,37.54557312,122.0910379,299.31232,1.219079119,1.79833899,-66.55603936
105,37.54584431,122.0907264,299.1327,1.208420823,2.174148093,-65.37480069
106,37.54611127,122.09042,299.22565,1.715500903,0.996494993,-64.71037068
107,37.54638159,122.0901072,298.49963,1.31750297,2.541270746,-64.42458364
108,37.54665455,122.0897944,300.40906,0.196264297,2.499133094,-67.91570467
109,37.54692486,122.0894874,302.09662,0.29783816,-0.427009194,-66.50707774
110,37.5471986,122.089172,302.6803,2.477337046,0.088231635,-64.38748008
111,37.54746149,122.0888616,301.9923,0.75680183,-0.716468934,-64.10716066
112,37.54772062,122.0885464,301.13855,2.328392717,0.810165399,-63.07992744
113,37.54798098,122.0882277,300.7981,3.632469724,0.270118273,-68.98014808
114,37.5482475,122.0879092,301.3329,1.854312216,1.151945995,-68.61330551
115,37.5485124,122.0875981,301.61407,1.890876674,0.587613778,-67.95141706
116,37.54877619,122.0872871,301.05182,2.658138069,0.24973279,-66.61992024
117,37.54858923,122.0838215,301.46246,2.026047828,3.733375082,156.61029
118,37.5483397,122.0841531,302.4474,3.784887131,3.261355942,163.8846253
119,37.5480844,122.0844758,302.45544,4.402454703,2.766188918,157.071121
120,37.5478198,122.0847856,303.23132,1.137660915,1.815079032,163.9019636
121,37.54754974,122.0850909,301.32764,1.78866536,2.441969999,167.664906
122,37.5472711,122.0853945,300.87036,-0.764010241,4.471431574,162.2211399
123,37.54700589,122.0857049,301.08466,0.188507131,3.532170458,163.1138568
124,37.54674176,122.0860217,301.5506,0.890001089,2.776541814,161.5528008
125,37.54647958,122.0863347,302.08588,0.828600766,1.745470718,162.1641409
126,37.54621605,122.0866469,301.56616,1.022525895,2.532509,164.5658404
