seq,lat,lon,alt,pitch,roll,yaw
275,37.57373548,122.0870833,326.02078,-1.470026565,2.650627371,0.915831382
276,37.57410638,122.0871086,324.78046,-1.359285904,1.62763532,3.109940669
277,37.57447417,122.0871364,324.48132,-1.056452908,0.581241405,2.628949601
278,37.57483792,122.0871586,324.44864,-2.243129947,2.676302564,10.5459734
279,37.57520808,122.0871863,324.6028,-0.04131305,1.855964586,5.863749379
280,37.57533614,122.0871953,324.64633,-0.793917041,0.134635473,7.876592562
281,37.57755187,122.0852784,327.5786,-3.24087283,2.978558287,173.4047844
282,37.5771912,122.0853048,327.6661,-7.271937759,4.360049766,175.9445188
283,37.57682713,122.0853021,326.94638,-3.212838448,2.891452911,-176.8751069
284,37.57646136,122.0852785,324.79477,-2.483778015,1.052110476,-175.9452153
285,37.57609572,122.0852495,323.5101,0.981821317,1.020428466,-174.7219323
286,37.57573404,122.0852183,323.8825,-1.9798634,0.390144969,-174.7761243
287,37.57536661,122.0851873,323.97403,-0.914499328,-0.116278339,-172.2210566
288,37.57500567,122.0851613,323.49182,-0.77735779,0.330642132,-173.3483777
289,37.57464371,122.0851392,325.4897,-1.185160725,1.290920286,-172.1826328
290,37.5742843,122.0851196,325.98346,-3.513564512,1.360854588,-172.1578503
291,37.57392314,122.0850953,325.6815,-1.965919792,1.263795078,-172.4534994
292,37.57355629,122.0850718,326.21167,-2.152522673,0.60702824,-170.7609379
293,37.57319207,122.0850534,327.05945,-4.489833411,0.034972248,-173.528206
294,37.57282693,122.0850332,327.48022,-4.562358414,1.474852317,-171.5809068
295,37.57246654,122.0850066,326.67386,-5.431207347,-0.414144788,-169.2958621
296,37.57210038,122.0849786,327.51498,-3.864218938,0.390544588,-169.4929398
297,37.57174078,122.0849515,326.0043,-5.003158951,-0.560438135,-170.1955537
298,37.57138185,122.0849191,324.72394,-1.843735962,-1.501647533,-173.8069205
299,37.57102062,122.0848925,324.6175,-6.064648709,-0.093063638,-173.6556625
300,37.57065556,122.0848723,324.19025,-5.092136152,0.883671731,-170.8432114
301,37.57029489,122.0848507,322.28748,-1.839000435,1.185526665,-170.0607141
302,37.56992815,122.0848315,322.3699,-1.794199088,1.153654278,-168.234984
303,37.5695602,122.0848079,322.2751,-2.739549979,0.104279493,-170.8159032
304,37.56919783,122.084782,321.7765,-0.533888216,0.862518714,-172.0165401
305,37.56883439,122.0847618,321.42706,-0.48508187,1.237608432,-166.3109809
306,37.56847314,122.0847387,320.62524,1.987639559,1.269592041,-167.918786
307,37.56810463,122.0847173,321.37955,3.561805812,1.084403656,-170.4501666
308,37.56774246,122.0846963,322.66513,0.488552083,0.746453153,-170.1185077
309,37.5673773,122.0846696,322.14218,-0.335266564,0.514794943,-173.1889404
310,37.56701055,122.084646,323.2382,0.419767696,0.759183826,-172.7134881
311,37.56665134,122.0846214,323.132,1.055605744,0.360959389,-172.4704214
312,37.56632832,122.0845974,323.3249,-0.387147896,0.761158252,-173.114695
313,37.56423055,122.0821035,326.20657,1.829231906,13.22905534,-2.080627947
314,37.56459193,122.0821641,326.00827,-4.468523073,4.356728137,3.240209143
315,37.56494958,122.0822369,324.60965,3.704765141,2.261579139,12.17428501
316,37.56530595,122.0823163,325.17554,0.058051608,-0.447586289,6.473455617
317,37.56566414,122.0823897,325.0564,1.351864876,-2.444077881,4.531841329
318,37.56602985,122.0824545,325.6876,-0.166771868,-3.002937639,3.617044705
319,37.56639383,122.0825063,325.49118,-0.607252267,-0.902676293,1.04051793
320,37.56676122,122.0825489,324.5048,2.465966248,-1.581418646,0.367196387
321,37.56713039,122.0825834,322.85104,0.256802534,-0.386871743,3.351894861
322,37.56749152,122.0826106,321.77408,4.848971992,-0.886163698,-2.762087021
323,37.56786191,122.0826311,322.00015,2.600652138,0.257874262,0.747633284
324,37.56822136,122.0826514,321.9506,3.155336398,0.886545704,-0.891866705
325,37.56859101,122.0826723,324.08383,3.025925003,0.843665049,2.608869388
326,37.5689549,122.0826932,325.5324,0.002698404,2.090214863,1.054784817
327,37.56931884,122.0827135,325.55307,-0.500816623,1.596315332,2.451325469
328,37.56969124,122.082736,325.86728,0.215010694,0.904312551,3.217301994
329,37.57005166,122.0827573,327.63272,-0.122750278,1.850464353,-0.79951073
330,37.57041673,122.0827802,329.71576,-0.613439242,1.269502087,-1.437299745
331,37.57078522,122.0828067,330.30832,-5.841687641,2.249089194,-1.123313713
332,37.5711517,122.082833,328.88672,-5.468179171,0.645684267,0.804397685
333,37.57151101,122.0828572,327.56833,-3.203160971,-0.564701983,1.969970313
334,37.57187217,122.0828814,327.90222,-1.538306852,0.059625946,-1.102048322
335,37.57223787,122.0829055,328.4445,-6.192262072,1.133571206,5.91283532
336,37.57260568,122.0829307,328.5218,-3.775872434,2.031468834,2.659756619
337,37.57296887,122.0829573,328.52664,-5.1065681,-0.610800151,0.829463376
338,37.5733385,122.0829801,328.04742,-4.994610939,2.638203203,2.586609505
339,37.57369824,122.0830026,327.33063,-4.935178623,0.515236278,2.616883621
340,37.57406082,122.0830257,326.38736,-5.708532489,0.870331176,1.389976398
341,37.57442009,122.0830491,324.68893,-3.567296819,1.066020258,-0.687585213
342,37.57478281,122.0830729,323.49875,-0.018372939,1.79035965,-1.214458023
343,37.57515586,122.0831005,323.68546,-1.523992874,0.288635806,-1.916956518
344,37.57548723,122.0831248,323.16702,-2.164896589,1.042396529,0.5931138
345,37.57772932,122.0812421,324.55484,1.081820737,3.597112105,-169.0688811
346,37.57736351,122.0812295,326.2106,1.720812744,0.546142746,-171.9816464
347,37.57699837,122.0812098,328.56033,-0.747342279,0.519127999,-173.3061598
348,37.57663861,122.0811846,325.34518,0.897313873,-1.184017702,-174.3074875
349,37.57627317,122.0811566,323.21362,4.502734132,0.252546967,-173.1920385
350,37.57591347,122.0811289,324.5177,0.52896063,-0.336065529,-170.9629652
351,37.5755538,122.0811027,325.31467,-0.027650822,1.240016191,-168.3270809
352,37.57518815,122.0810772,325.9578,0.161532026,0.644882211,-171.5092233
353,37.57482317,122.0810533,323.4449,3.710219182,0.475952955,-176.6324779
354,37.57446159,122.0810335,323.58224,2.02812368,0.927667023,-172.6945963
355,37.57409735,122.0810071,325.4939,1.618605307,-1.416088897,-171.8512698
356,37.57373223,122.0809787,325.55994,1.22271,-0.802046678,-173.5013382
357,37.57337105,122.0809599,325.32,-2.295693815,1.682429366,-172.7104088
358,37.57300656,122.08094,324.52795,1.106529508,1.718622407,-172.9432699
359,37.57264528,122.0809124,325.48856,0.15283404,-0.666995182,-172.778467
360,37.5722817,122.0808893,324.28732,-0.508384829,1.317540007,-171.3956704
361,37.57191905,122.0808654,323.0053,2.364119206,0.093803451,-171.1119195
362,37.57155956,122.0808416,324.3673,0.3964125,0.172740132,-171.4967474
363,37.57119318,122.0808161,325.20584,1.699490439,-0.383183606,-173.5891632
364,37.57082877,122.0807927,325.39154,-0.540016194,0.305069718,-170.7085493
365,37.5704638,122.0807643,325.48068,-0.438015728,0.339704064,-170.4245591
366,37.57010286,122.0807398,325.21738,0.441661672,-0.598027541,-170.2215359
367,37.56973727,122.0807198,327.439,-1.922485457,-0.571593936,-171.9318649
368,37.5693744,122.0806992,326.83136,-2.879802223,2.661963081,-173.3119499
369,37.56901432,122.0806803,327.6163,-1.411077659,-0.630568713,-168.989066
370,37.56865288,122.0806621,325.55084,-3.503847791,1.209297907,-169.7751205
371,37.56828945,122.0806307,324.1308,-1.127891948,-0.001397295,-170.5425357
372,37.56792817,122.080602,323.59003,-0.629429047,-0.099836905,-172.6748891
373,37.56756121,122.0805772,324.44354,-1.312703111,-0.53399332,-169.0230345
374,37.56719942,122.0805498,322.6526,0.179898898,-1.076853031,-166.7992415
375,37.56683911,122.0805207,323.62973,-2.102065448,0.035454263,-173.2313853
376,37.56647636,122.0804919,324.13284,1.230121938,-1.045977558,-175.0993661
377,37.56437832,122.07785,321.35425,2.647133536,23.24543447,8.721268031
378,37.56473992,122.0779256,323.2347,3.925829839,9.061840948,13.31120655
379,37.56510098,122.0780313,324.34772,-2.331070871,1.840634808,16.67982745
380,37.56545315,122.0781419,322.58856,2.995017271,-1.371167453,17.25489742
381,37.56581065,122.0782476,323.18552,4.860388953,-4.721897432,13.69134749
382,37.56616573,122.0783405,322.084,5.814804934,-5.027454602,16.06625805
383,37.56652954,122.0784186,321.76395,6.798214672,-7.093043675,7.374421778
384,37.56690009,122.0784733,322.6639,3.400597623,-3.850366344,8.380465988
385,37.56726141,122.0785146,322.73654,4.955135613,-2.813394265,3.721830119
386,37.56762046,122.0785431,323.06415,3.808265324,-0.491836347,4.052612189
387,37.56798608,122.0785676,322.84464,3.6076418,-0.77435438,3.977998544
388,37.56835682,122.0785889,323.21783,4.758879301,-0.415474942,0.441317719
389,37.56872111,122.0786066,324.19354,4.401376666,0.134449662,1.617371233
390,37.56908502,122.0786238,324.2795,4.244657194,1.581652654,3.218281102
391,37.56944741,122.078643,323.82663,3.365281002,0.495380904,2.705097855
392,37.56980863,122.0786658,322.5339,3.652282122,0.326542495,-4.190548209
393,37.57018066,122.078686,322.43393,6.203167328,-0.032270972,-2.243570167
394,37.57055363,122.0787071,322.4511,4.790596729,0.614475447,0.279464823
395,37.57091782,122.0787303,322.66525,3.828832331,-0.380223374,-1.490325281
396,37.5712879,122.0787548,322.6961,5.848054296,1.715796383,2.24878479
397,37.57165451,122.078782,323.67743,4.836244978,0.316732224,1.671688423
398,37.57202277,122.0788091,325.0541,4.472678786,0.259453383,1.959043118
399,37.57238401,122.0788364,326.29825,4.446756543,-0.397238009,2.175734284
400,37.57274995,122.0788626,327.26926,2.391506811,0.220880591,1.332887517
401,37.57311706,122.0788875,327.91635,1.4817127,-0.209805139,2.336809828
402,37.57348267,122.0789114,327.80713,0.758346449,0.930208051,1.417378466
403,37.57385246,122.0789367,326.43246,0.919035027,1.013341812,1.602982383
404,37.57421863,122.0789613,326.42157,2.847578235,0.265751751,2.961659573
405,37.57457911,122.0789829,327.43597,2.115760017,1.988329485,2.652884406
406,37.57493978,122.0790053,327.66562,1.749868352,0.878104262,3.286176022
407,37.57531029,122.079029,327.43698,0.1762723,0.505656133,2.541175674
408,37.5756184,122.079048,326.51367,1.311633251,1.08262717,5.131624912
409,37.57781436,122.0771678,325.7184,1.783749222,1.978215962,-175.5172863
410,37.57745255,122.0771527,325.97406,-1.000832919,1.157394958,-174.2129827
411,37.57708636,122.0771249,325.62173,0.707203607,0.211475066,-173.254714
412,37.57672578,122.0770954,325.50177,-0.359899203,0.671606062,-173.2745597
413,37.57636129,122.0770655,325.49478,-0.169299279,-0.34812386,-172.4704024
414,37.57600046,122.0770401,325.69556,-1.099663537,-0.281142853,-171.9800577
415,37.57563497,122.0770189,325.03967,0.05722569,0.667264559,-172.4567026
416,37.57527328,122.0769967,324.85333,-0.317285201,0.577220415,-170.8971943
417,37.57491332,122.076973,324.31293,0.896312669,-0.584155362,-172.0949659
418,37.57455005,122.0769495,325.38846,0.472209335,-0.186468713,-170.7386463
419,37.57418982,122.0769262,326.0804,-1.661344681,-0.018059658,-170.3843304
420,37.5738258,122.0769026,325.70273,-0.554170375,0.060004121,-171.3353607
421,37.57345873,122.0768801,324.06198,0.151553535,0.596267983,-170.6919983
422,37.57309313,122.0768535,323.36066,0.344392627,0.012729857,-176.0613544
423,37.57272535,122.0768292,322.55875,0.262368999,-0.422690538,-174.6688473
424,37.57235779,122.0768056,322.81665,1.524134096,0.065146634,-175.4963675
425,37.57199345,122.0767814,322.5801,1.742941039,-0.10466928,-173.8173331
426,37.5716265,122.0767572,323.98438,1.864304992,-0.009048291,-175.5646998
427,37.57126597,122.076734,324.97968,0.320171386,-0.311403047,-173.2593039
428,37.57090343,122.0767076,324.15353,0.32872262,0.119780634,-172.0527677
429,37.5705384,122.0766791,323.66614,1.938699615,-0.802024323,-172.0844648
430,37.57017157,122.0766555,323.66098,3.934062511,0.292623467,-168.9012227
431,37.5698095,122.0766375,324.69595,1.332203534,-0.829743753,-165.5563749
432,37.56944669,122.0766149,326.89053,0.428907382,0.7396174,-170.8473328
433,37.56908383,122.0765929,324.86993,0.349336672,-0.032250054,-168.8301137
